
Остатки и доступность товаров

Параметры:	Показать обособленные товары: Нет
Отбор:	Склад В группе из списка "СОХ Санкт-Петербург СТС"

Склад			Сейчас			Ожидается				02.04.2026	Итого
Артикул	Номенклатура, Характеристика	Ед. изм.	В наличии	В резерве	Доступно	Поступит	В резерве	Доступно	Поступит	Поступит	Поступит
СОХ Санкт-Петербург СТС											
03627	Вентиль 90*32, AQUALINK 30/5	шт	73,000		73,000						
00286	Водорозетка  L16х1/2 F-W, AQUALINK  100/10	шт	696,000	50,000	646,000						
00286-DIY	Водорозетка  L16х1/2 F-W DIY, Бирка 100/10	шт	40,000		40,000						
00168	Водорозетка  L20х1/2 F-W, AQUALINK  60/10	шт	42,000	20,000	22,000						
00492	Водорозетка  L20х3/4 F-W, AQUALINK  60/10	шт	117,000		117,000						
02651	Воздухоотводчик автоматический (поплавковый) 1/2", AQUALINK 100/1	шт	2 668,000	1 397,000	1 271,000						
02652	Воздухоотводчик автоматический (поплавковый) 3/8" c отcекающим клапаном 1/2", AQUALINK 140/1	шт	374,000	72,000	302,000						
02606	Воздухоотводчик автоматический (радиаторный) 1'' левый, AQUALINK 120/20	шт	334,000	120,000	214,000						
02605	Воздухоотводчик автоматический (радиаторный) 1'' правый, AQUALINK 120/20	шт	858,000	120,000	738,000						
01330	Воздухоотводчик ручной  1/2''  (кран Маевского), AQUALINK 1000/10	шт	834,000		834,000						
01330	Воздухоотводчик ручной  1/2''  (кран Маевского), AQUALINK 500/10	шт	3 961,000	41,000	3 920,000						
02061	Воздухоотводчик ручной  3/4''  (кран Маевского), AQUALINK 250/10	шт	1 515,000		1 515,000						
02061	Воздухоотводчик ручной  3/4''  (кран Маевского), AQUALINK 500/10	шт	73,000		73,000						
04602	Воздухоотводчик ручной с пластиковой ручкой  1/2''  (кран Маевского), AQUALINK 1000/10	шт	655,000	90,000	565,000						
04603	Воздухоотводчик ручной с пластиковой ручкой  3/4''  (кран Маевского), AQUALINK 500/10	шт	160,000	120,000	40,000						
02762	Гаситель гидроударов мембранный 1/2", AQUALINK 50/1	шт	527,000	5,000	522,000						
02880	Гидравлический разделитель стальной (гидрострелка) 1 1/2", AQUALINK 1/1	шт	11,000	1,000	10,000						
02912	Гидроаккумулятор вертикальный,  нижнее подключение 1", 24 л, AQUALINK 1/1	шт	4,000		4,000						
02913	Гидроаккумулятор вертикальный,  нижнее подключение 1", 50 л, AQUALINK 1/1	шт	7,000	1,000	6,000						
02910	Гидроаккумулятор горизонтальный, боковое подключение 1", 24 л, AQUALINK 1/1	шт	15,000	1,000	14,000						
02911	Гидроаккумулятор горизонтальный, боковое подключение 1", 50 л, AQUALINK 1/1	шт	47,000		47,000						
01000	Гильза аксиальная 16 мм, AQUALINK 400/10	шт	9 605,000	9 600,000	5,000						
